2020-05-18 15:04:12.766034
dolar australijski,Australia,1 AUD,2.7218,-0.02%
real brazylijski,Brazylia,1 BRL,0.7213,-0.52%
lewa bu³garska,Bu³garia,1 BGN,2.3337,0.20%
juan chiñski,Chiny,1 CNY,0.5933,-0.02%
kuna chorwacka,Chorwacja,1 HRK,0.6041,0.45%
korona czeska,Czechy,1 CZK,0.1652,-0.24%
korona duñska,Dania,1 DKK,0.6123,0.23%
euro Strefa Euro,EUGiW,1 EUR,4.5644,0.20%
peso filipiñskie,Filipiny,1 PHP,0.0829,-0.24%
dolar Hong Kongu,Hongkong,1 HKD,0.5447,0.20%
-,Indonezja,10000 IDR,2.8434,0.28%
korona islandzka,Islandia,100 ISK,2.9017,0.84%
jen japoñski,Japonia,100 JPY,3.9355,0.00%
dolar kanadyjski,Kanada,1 CAD,3.0008,0.04%
won po³udniowokoreañski,Korea Po³udniowa,100 KRW,0.3421,-0.12%
ringgit malezyjski,Malezja,1 MYR,0.9662,-0.32%
peso meksykañskie,Meksyk,1 MXN,0.1769,0.11%
korona norweska,Norwegia,1 NOK,0.4149,0.14%
dolar nowozelandzki,Nowa Zelandia,1 NZD,2.5134,-0.47%
rand po³udniowoafrykañski,RPA,1 ZAR,0.2282,-0.35%
rubel rosyjski,Rosja,1 RUB,0.0578,0.70%
lej rumuñski,Rumunia,1 RON,0.9430,0.17%
-,SDR,1 XDR,5.7463,0.20%
dolar singapurski,Singapur,1 SGD,2.9596,-0.03%
frank szwajcarski,Szwajcaria,1 CHF,4.3419,0.29%
korona szwedzka,Szwecja,1 SEK,0.4290,-0.09%
baht tajlandzki,Tajlandia,1 THB,0.1318,0.38%
lira turecka,Turcja,1 TRY,0.6137,0.77%
dolar amerykañski,USA,1 USD,4.2224,0.21%
hrywna ukraiñska,Ukraina,1 UAH,0.1589,0.44%
funt brytyjski,W. Brytania,1 GBP,5.1110,-0.61%
forint wêgierski,Wêgry,100 HUF,1.2894,0.17%
2020-05-18 15:08:28.192639
dolar australijski,Australia,1 AUD,2.7218,-0.02%
real brazylijski,Brazylia,1 BRL,0.7213,-0.52%
lewa bu³garska,Bu³garia,1 BGN,2.3337,0.20%
juan chiñski,Chiny,1 CNY,0.5933,-0.02%
kuna chorwacka,Chorwacja,1 HRK,0.6041,0.45%
korona czeska,Czechy,1 CZK,0.1652,-0.24%
korona duñska,Dania,1 DKK,0.6123,0.23%
euro Strefa Euro,EUGiW,1 EUR,4.5644,0.20%
peso filipiñskie,Filipiny,1 PHP,0.0829,-0.24%
dolar Hong Kongu,Hongkong,1 HKD,0.5447,0.20%
-,Indonezja,10000 IDR,2.8434,0.28%
korona islandzka,Islandia,100 ISK,2.9017,0.84%
jen japoñski,Japonia,100 JPY,3.9355,0.00%
dolar kanadyjski,Kanada,1 CAD,3.0008,0.04%
won po³udniowokoreañski,Korea Po³udniowa,100 KRW,0.3421,-0.12%
ringgit malezyjski,Malezja,1 MYR,0.9662,-0.32%
peso meksykañskie,Meksyk,1 MXN,0.1769,0.11%
korona norweska,Norwegia,1 NOK,0.4149,0.14%
dolar nowozelandzki,Nowa Zelandia,1 NZD,2.5134,-0.47%
rand po³udniowoafrykañski,RPA,1 ZAR,0.2282,-0.35%
rubel rosyjski,Rosja,1 RUB,0.0578,0.70%
lej rumuñski,Rumunia,1 RON,0.9430,0.17%
-,SDR,1 XDR,5.7463,0.20%
dolar singapurski,Singapur,1 SGD,2.9596,-0.03%
frank szwajcarski,Szwajcaria,1 CHF,4.3419,0.29%
korona szwedzka,Szwecja,1 SEK,0.4290,-0.09%
baht tajlandzki,Tajlandia,1 THB,0.1318,0.38%
lira turecka,Turcja,1 TRY,0.6137,0.77%
dolar amerykañski,USA,1 USD,4.2224,0.21%
hrywna ukraiñska,Ukraina,1 UAH,0.1589,0.44%
funt brytyjski,W. Brytania,1 GBP,5.1110,-0.61%
forint wêgierski,Wêgry,100 HUF,1.2894,0.17%
